case	non_inserted_score	lowest_zcoord	lowest_angle	lowest_score	ddG_from_lowest	inserted_zcoord	inserted_angle	inserted_score	ddG_from_inserted	efxn	exp
GL5	-21.383	17.9407	92	-25.7522	-4.3692	-0.0593042	0	-18.1922	3.1908	m07	2.1
GL6	-25.2789	6.64299	193	-30.2805	-5.0016	-0.357013	0	-27.2563	-1.9774	m07	0.5
GL7	-28.9253	-17.4192	270	-36.2259	-7.3006	-0.419224	0	-31.2112	-2.2859	m07	-0.5
GL8	-37.4852	-2.21358	5	-45.4828	-7.9976	-0.213583	0	-45.1413	-7.6561	m07	-1.5
GWL6	-26.434	8.31902	310	-30.1939	-3.7599	0.319017	0	-29.883	-3.449	m07	-0.5
GL5	-10.4511	-16.0593	275	-34.7101	-24.259	-0.0593042	0	-30.7807	-2.03296	m12	2.1
GL6	-13.1413	5.64299	215	-42.5498	-29.4085	-0.357013	0	-41.4132	-2.82719	m12	0.5
GL7	-14.9721	-10.4192	294	-49.2523	-34.2802	-0.419224	0	-47.3953	-3.24232	m12	-0.5
GL8	-22.6575	-0.213583	190	-62.9014	-40.2439	-0.213583	0	-62.1833	-3.95258	m12	-1.5
GWL6	-12.4978	-0.680983	180	-46.6207	-34.1229	0.319017	0	-46.3813	-3.38835	m12	-0.5
