class overall buried surface lipid_facing interfacial aqueous efxn
polar 0.099 0.156 0.079 0.039 0.1 0.086 m07_ecoli
nonpolar 0.45 0.558 0.298 0.365 0.341 0.241 m07_ecoli
special 0.529 0.57 0.539 0.473 0.431 0.568 m07_ecoli
aromatic 0.073 0.093 0.043 0.032 0.04 0.05 m07_ecoli
charged 0.029 0.051 0.022 0.0 0.018 0.026 m07_ecoli
polar 0.309 0.398 0.249 0.033 0.237 0.283 m12_eukaryotes
nonpolar 0.264 0.287 0.214 0.325 0.151 0.163 m12_eukaryotes
special 0.341 0.379 0.349 0.157 0.278 0.388 m12_eukaryotes
aromatic 0.082 0.109 0.029 0.033 0.023 0.029 m12_eukaryotes
charged 0.268 0.134 0.345 0.051 0.443 0.348 m12_eukaryotes
polar 0.205 0.247 0.152 0.163 0.167 0.148 r15_bacteria
nonpolar 0.386 0.552 0.117 0.115 0.147 0.113 r15_bacteria
special 0.542 0.6 0.521 0.408 0.522 0.544 r15_bacteria
aromatic 0.191 0.24 0.086 0.065 0.109 0.091 r15_bacteria
charged 0.163 0.135 0.184 0.111 0.177 0.193 r15_bacteria
polar 0.205 0.247 0.154 0.074 0.115 0.171 m18_eukaryotes_DOPC_37
nonpolar 0.384 0.541 0.172 0.24 0.146 0.138 m18_eukaryotes_DOPC_37
special 0.435 0.49 0.457 0.2 0.392 0.504 m18_eukaryotes_DOPC_37
aromatic 0.192 0.211 0.117 0.14 0.093 0.112 m18_eukaryotes_DOPC_37
charged 0.144 0.108 0.156 0.034 0.079 0.172 m18_eukaryotes_DOPC_37
polar 0.109 0.163 0.061 0.0 0.061 0.07 m07_eukaryotes
nonpolar 0.398 0.498 0.27 0.321 0.217 0.253 m07_eukaryotes
special 0.392 0.436 0.405 0.2 0.278 0.454 m07_eukaryotes
aromatic 0.064 0.086 0.031 0.0 0.023 0.051 m07_eukaryotes
charged 0.05 0.089 0.027 0.0 0.029 0.028 m07_eukaryotes
polar 0.205 0.223 0.18 0.156 0.183 0.183 r15_eukaryotes
nonpolar 0.341 0.528 0.077 0.051 0.038 0.103 r15_eukaryotes
special 0.439 0.501 0.457 0.2 0.367 0.508 r15_eukaryotes
aromatic 0.153 0.199 0.07 0.04 0.023 0.101 r15_eukaryotes
charged 0.164 0.113 0.193 0.237 0.171 0.193 r15_eukaryotes
polar 0.3 0.402 0.237 0.065 0.22 0.267 m12_all
nonpolar 0.284 0.306 0.216 0.326 0.174 0.164 m12_all
special 0.423 0.498 0.38 0.238 0.39 0.404 m12_all
aromatic 0.102 0.123 0.052 0.052 0.074 0.047 m12_all
charged 0.226 0.117 0.308 0.069 0.377 0.321 m12_all
polar 0.164 0.201 0.139 0.021 0.067 0.171 m18_humans_POPC_37
nonpolar 0.368 0.508 0.173 0.194 0.195 0.151 m18_humans_POPC_37
special 0.432 0.415 0.493 0.206 0.474 0.566 m18_humans_POPC_37
aromatic 0.166 0.215 0.096 0.129 0.071 0.075 m18_humans_POPC_37
charged 0.148 0.056 0.174 0.071 0.106 0.19 m18_humans_POPC_37
polar 0.247 0.291 0.205 0.2 0.175 0.212 m18_archaea_DOPC_37
nonpolar 0.406 0.535 0.196 0.301 0.268 0.121 m18_archaea_DOPC_37
special 0.509 0.553 0.511 0.292 0.762 0.485 m18_archaea_DOPC_37
aromatic 0.195 0.209 0.089 0.059 0.042 0.117 m18_archaea_DOPC_37
charged 0.151 0.116 0.195 0.2 0.111 0.206 m18_archaea_DOPC_37
polar 0.204 0.243 0.148 0.04 0.158 0.163 m18_all_DLPC_37
nonpolar 0.411 0.545 0.207 0.267 0.274 0.117 m18_all_DLPC_37
special 0.529 0.576 0.53 0.374 0.49 0.567 m18_all_DLPC_37
aromatic 0.208 0.236 0.135 0.166 0.137 0.111 m18_all_DLPC_37
charged 0.145 0.128 0.163 0.042 0.104 0.183 m18_all_DLPC_37
polar 0.159 0.161 0.134 0.083 0.053 0.152 m18_humans_pm
nonpolar 0.333 0.495 0.143 0.16 0.188 0.117 m18_humans_pm
special 0.419 0.412 0.47 0.179 0.32 0.577 m18_humans_pm
aromatic 0.167 0.231 0.079 0.087 0.08 0.071 m18_humans_pm
charged 0.135 0.021 0.156 0.111 0.039 0.177 m18_humans_pm
polar 0.169 0.207 0.133 0.06 0.069 0.156 m18_humans_DOPC_37
nonpolar 0.343 0.467 0.157 0.176 0.175 0.136 m18_humans_DOPC_37
special 0.436 0.415 0.498 0.2 0.441 0.581 m18_humans_DOPC_37
aromatic 0.172 0.215 0.096 0.098 0.097 0.092 m18_humans_DOPC_37
charged 0.142 0.078 0.164 0.077 0.063 0.185 m18_humans_DOPC_37
polar 0.206 0.257 0.142 0.052 0.197 0.148 m18_bacteria_DLPE_37
nonpolar 0.411 0.543 0.201 0.31 0.272 0.124 m18_bacteria_DLPE_37
special 0.544 0.599 0.535 0.464 0.502 0.552 m18_bacteria_DLPE_37
aromatic 0.212 0.243 0.136 0.184 0.172 0.103 m18_bacteria_DLPE_37
charged 0.149 0.143 0.166 0.045 0.094 0.183 m18_bacteria_DLPE_37
polar 0.102 0.13 0.06 0.0 0.105 0.061 m07_archaea
nonpolar 0.447 0.538 0.295 0.399 0.271 0.215 m07_archaea
special 0.473 0.529 0.458 0.167 0.658 0.447 m07_archaea
aromatic 0.093 0.106 0.03 0.0 0.0 0.063 m07_archaea
charged 0.034 0.079 0.021 0.0 0.0 0.026 m07_archaea
polar 0.241 0.277 0.212 0.255 0.193 0.209 m18_archaea_DLPE_37
nonpolar 0.421 0.532 0.21 0.303 0.343 0.099 m18_archaea_DLPE_37
special 0.499 0.531 0.508 0.278 0.658 0.5 m18_archaea_DLPE_37
aromatic 0.206 0.233 0.112 0.111 0.148 0.101 m18_archaea_DLPE_37
charged 0.163 0.101 0.201 0.042 0.279 0.199 m18_archaea_DLPE_37
polar 0.181 0.261 0.139 0.092 0.189 0.143 r15_ecoli
nonpolar 0.394 0.557 0.12 0.135 0.128 0.108 r15_ecoli
special 0.555 0.596 0.593 0.541 0.529 0.614 r15_ecoli
aromatic 0.185 0.217 0.058 0.024 0.02 0.086 r15_ecoli
charged 0.16 0.143 0.179 0.127 0.144 0.192 r15_ecoli
polar 0.152 0.178 0.124 0.016 0.103 0.157 m18_humans_DPPC_37
nonpolar 0.357 0.455 0.191 0.238 0.174 0.104 m18_humans_DPPC_37
special 0.444 0.401 0.525 0.233 0.565 0.609 m18_humans_DPPC_37
aromatic 0.181 0.215 0.102 0.106 0.108 0.086 m18_humans_DPPC_37
charged 0.13 0.067 0.162 0.036 0.095 0.194 m18_humans_DPPC_37
polar 0.102 0.112 0.059 0.0 0.103 0.066 m07_humans
nonpolar 0.369 0.453 0.255 0.31 0.2 0.226 m07_humans
special 0.375 0.352 0.419 0.143 0.265 0.52 m07_humans
aromatic 0.068 0.097 0.019 0.0 0.032 0.031 m07_humans
charged 0.052 0.056 0.037 0.0 0.0 0.044 m07_humans
polar 0.202 0.252 0.14 0.07 0.145 0.151 m18_bacteria_DOPC_37
nonpolar 0.408 0.547 0.191 0.271 0.249 0.14 m18_bacteria_DOPC_37
special 0.552 0.6 0.545 0.488 0.594 0.548 m18_bacteria_DOPC_37
aromatic 0.209 0.228 0.14 0.202 0.178 0.101 m18_bacteria_DOPC_37
charged 0.148 0.144 0.164 0.052 0.092 0.185 m18_bacteria_DOPC_37
polar 0.167 0.178 0.167 0.2 0.207 0.156 r15_humans
nonpolar 0.313 0.499 0.066 0.028 0.05 0.102 r15_humans
special 0.432 0.444 0.498 0.143 0.441 0.595 r15_humans
aromatic 0.112 0.167 0.025 0.0 0.032 0.046 r15_humans
charged 0.15 0.078 0.194 0.154 0.159 0.202 r15_humans
polar 0.207 0.254 0.15 0.075 0.15 0.162 m18_all_DOPC_37
nonpolar 0.402 0.542 0.188 0.268 0.218 0.139 m18_all_DOPC_37
special 0.527 0.576 0.522 0.43 0.565 0.531 m18_all_DOPC_37
aromatic 0.204 0.221 0.133 0.179 0.144 0.107 m18_all_DOPC_37
charged 0.148 0.136 0.166 0.062 0.087 0.186 m18_all_DOPC_37
polar 0.113 0.159 0.065 0.028 0.07 0.07 m07_all
nonpolar 0.433 0.532 0.282 0.345 0.278 0.249 m07_all
special 0.492 0.56 0.452 0.332 0.469 0.471 m07_all
aromatic 0.078 0.105 0.037 0.012 0.047 0.048 m07_all
charged 0.042 0.061 0.031 0.0 0.021 0.036 m07_all
polar 0.207 0.244 0.162 0.175 0.173 0.159 r15_all
nonpolar 0.375 0.545 0.101 0.092 0.104 0.105 r15_all
special 0.517 0.576 0.501 0.36 0.497 0.527 r15_all
aromatic 0.181 0.227 0.078 0.059 0.07 0.09 r15_all
charged 0.164 0.128 0.188 0.145 0.176 0.193 r15_all
polar 0.295 0.4 0.232 0.07 0.227 0.259 m12_bacteria
nonpolar 0.288 0.314 0.212 0.322 0.182 0.161 m12_bacteria
special 0.446 0.532 0.391 0.265 0.414 0.412 m12_bacteria
aromatic 0.107 0.123 0.064 0.052 0.109 0.06 m12_bacteria
charged 0.211 0.111 0.296 0.062 0.342 0.315 m12_bacteria
polar 0.3 0.343 0.238 0.0 0.31 0.279 m12_humans
nonpolar 0.242 0.306 0.196 0.296 0.125 0.136 m12_humans
special 0.344 0.317 0.382 0.143 0.265 0.466 m12_humans
aromatic 0.066 0.097 0.013 0.0 0.0 0.031 m12_humans
charged 0.321 0.156 0.416 0.077 0.492 0.414 m12_humans
polar 0.257 0.387 0.21 0.033 0.211 0.252 m12_ecoli
nonpolar 0.302 0.345 0.223 0.36 0.238 0.129 m12_ecoli
special 0.465 0.52 0.482 0.378 0.373 0.52 m12_ecoli
