overall buried surface lipid_facing interfacial aqueous efxn
-27.404 -34.682 -65.318 -126.265 -95.619 -47.77 m07_ecoli
-22.411 -23.997 -28.636 -102.862 -27.68 -26.881 m12_eukaryotes
-1.119 -5.936 -5.773 -6.084 -7.547 -4.141 r15_bacteria
-2.942 -6.856 -5.795 -25.355 -7.825 -6.3 m18_eukaryotes_DOPC_37
-37.458 -34.986 -40.843 -133.569 -70.459 -36.891 m07_eukaryotes
-2.082 -7.153 -8.251 -15.069 -22.303 -7.447 r15_eukaryotes
-23.76 -26.441 -28.56 -70.717 -27.403 -26.753 m12_all
-3.149 -8.412 -6.223 -55.338 -4.669 -16.991 m18_humans_POPC_37
-1.237 -5.239 8.436 1.72 -24.732 -3.493 m18_archaea_DOPC_37
-2.41 -6.63 -4.184 -15.14 -5.707 -4.241 m18_all_DLPC_37
-3.222 -16.645 -17.423 -42.735 -27.236 -16.876 m18_humans_pm
-3.205 -6.757 -17.363 -44.132 -28.336 -16.7 m18_humans_DOPC_37
-1.624 -5.263 -3.174 -12.336 -3.896 -3.075 m18_bacteria_DLPE_37
-37.391 -35.182 -38.832 -107.024 -89.431 -56.293 m07_archaea
-1.394 -5.962 -2.719 -5.178 -28.795 -2.85 m18_archaea_DLPE_37
-1.289 -4.762 -6.01 -17.666 -16.618 7.697 r15_ecoli
-3.869 -20.876 -17.959 -46.51 -27.89 -14.69 m18_humans_DPPC_37
-36.079 -45.088 -51.405 -118.535 -61.978 -57.326 m07_humans
-1.732 -5.659 -3.409 -11.883 -6.695 -3.134 m18_bacteria_DOPC_37
-1.837 -6.381 -8.498 10.358 -17.443 -18.353 r15_humans
-2.043 -6.045 -4.241 -11.869 -7.709 -4.404 m18_all_DOPC_37
-27.023 -25.082 -43.391 -104.561 -65.961 -40.07 m07_all
-1.335 -6.089 -6.712 -5.793 -8.489 -5.572 r15_all
-23.409 -26.88 -27.569 -69.45 -26.666 -25.387 m12_bacteria
-21.726 -33.205 -30.073 -128.519 -58.994 -28.077 m12_humans
-22.512 -25.563 -27.667 -102.713 -52.287 -13.532 m12_ecoli
-20.277 -21.67 -14.046 -69.655 -48.526 -13.11 m12_archaea
-1.899 -4.739 -4.037 -24.172 -18.226 -3.985 m18_ecoli_DOPC_37
-3.152 -19.819 -5.577 -31.597 8.615 -16.651 m18_humans_DLPC_37
-1.878 -5.232 -4.44 -24.229 -17.103 8.183 m18_ecoli_DLPE_37
-26.97 -25.629 -55.142 -135.174 -75.034 -50.451 m07_bacteria
-2.806 -6.764 -5.969 -32.065 -2.929 -17.245 m18_humans_DMPC_37
-3.014 -7.981 -5.949 -58.967 -7.721 -6.256 m18_eukaryotes_DLPC_37
-0.036 -4.973 -7.077 -0.954 -28.783 -6.125 r15_archaea
