class overall buried surface lipid_facing interfacial aqueous efxn
polar 3.459 4.782 2.194 1.281 2.844 2.281 m07_ecoli
nonpolar -4.196 -10.651 -0.959 -0.353 -1.618 -0.869 m07_ecoli
special -17.367 -16.954 -13.609 -13.305 -0.347 -0.834 m07_ecoli
aromatic -10.41 -24.039 -12.44 -22.284 -31.712 -12.752 m07_ecoli
charged -0.406 2.283 -4.335 -13.897 -5.06 -4.276 m07_ecoli
polar 3.976 5.684 0.737 -1.819 0.847 0.96 m12_eukaryotes
nonpolar -6.962 -10.958 -9.651 -7.41 -33.158 -10.724 m12_eukaryotes
special -20.279 -19.053 -18.621 -17.306 -16.123 -18.238 m12_eukaryotes
aromatic -9.341 -7.539 -25.092 -45.88 -44.268 -23.322 m12_eukaryotes
charged 0.938 0.52 -0.183 -25.2 0.491 -0.223 m12_eukaryotes
polar -0.397 -1.591 0.407 2.228 0.261 0.144 r15_bacteria
nonpolar 0.372 0.942 -3.887 -6.67 -4.999 -2.825 r15_bacteria
special -0.485 -0.882 -1.656 -3.673 -0.696 -1.121 r15_bacteria
aromatic -1.206 -1.091 -3.197 -4.806 -3.502 -2.71 r15_bacteria
charged 0.675 -2.628 1.707 7.518 2.38 0.949 r15_bacteria
polar -0.485 -1.286 -0.24 -14.361 0.613 -0.001 m18_humans_DOPC
nonpolar 1.007 1.318 -2.238 -2.916 -0.166 -2.953 m18_humans_DOPC
special -1.402 -1.109 -2.568 -13.944 -12.373 -1.425 m18_humans_DOPC
aromatic -0.574 -1.028 -0.32 -0.262 -1.504 -0.465 m18_humans_DOPC
charged -1.47 -4.39 -0.683 -23.277 -15.061 -0.132 m18_humans_DOPC
polar -0.785 -1.632 -0.361 -2.803 -1.055 -0.061 m18_all_DOPC
nonpolar 1.047 1.072 -1.301 -1.635 -0.293 -1.536 m18_all_DOPC
special -0.677 -0.964 -1.42 -2.051 -0.191 -1.555 m18_all_DOPC
aromatic -0.558 -1.097 -0.567 0.099 -0.759 -1.0 m18_all_DOPC
charged -1.058 -3.761 -0.321 -3.168 -2.994 0.108 m18_all_DOPC
polar -0.914 -1.708 -0.379 -2.275 -1.126 -0.134 m18_bacteria_DOPC
nonpolar 1.098 1.037 -1.142 -1.706 -0.309 -1.172 m18_bacteria_DOPC
special -0.329 -0.767 -0.7 -1.825 0.79 -0.495 m18_bacteria_DOPC
aromatic -0.525 -1.097 -0.52 0.036 -0.634 -0.846 m18_bacteria_DOPC
charged -1.056 -3.583 -0.348 -2.798 -2.713 0.034 m18_bacteria_DOPC
polar 4.09 4.743 2.368 0.865 2.585 2.494 m07_eukaryotes
nonpolar -5.462 -12.279 -1.982 -2.253 -1.723 -2.161 m07_eukaryotes
special -18.749 -18.34 -16.317 -16.128 -14.072 -15.784 m07_eukaryotes
aromatic -9.235 -8.121 -12.886 -45.88 -44.268 -11.116 m07_eukaryotes
charged 0.49 3.86 -2.678 -12.085 -14.998 -2.711 m07_eukaryotes
polar -0.031 -1.525 0.382 1.717 0.159 0.131 r15_eukaryotes
nonpolar 0.242 1.252 -4.882 -6.838 -7.292 -3.809 r15_eukaryotes
