class overall buried surface lipid_facing interfacial aqueous efxn
polar 0.375 0.465 0.327 0.159 0.369 0.345 m07_ecoli
nonpolar 0.128 0.087 0.196 0.284 0.143 0.141 m07_ecoli
special 0.489 0.533 0.538 0.38 0.577 0.55 m07_ecoli
aromatic 0.028 0.021 0.008 0.0 0.0 0.019 m07_ecoli
charged 0.192 0.208 0.147 0.068 0.071 0.17 m07_ecoli
polar 0.336 0.464 0.198 0.053 0.177 0.22 m12_eukaryotes
nonpolar 0.103 0.038 0.16 0.355 0.046 0.036 m12_eukaryotes
special 0.304 0.36 0.298 0.155 0.228 0.33 m12_eukaryotes
aromatic 0.033 0.049 0.006 0.0 0.0 0.014 m12_eukaryotes
charged 0.282 0.231 0.305 0.062 0.295 0.316 m12_eukaryotes
polar 0.214 0.262 0.157 0.075 0.127 0.174 m18_eukaryotes_DOPC_37
nonpolar 0.374 0.533 0.176 0.24 0.164 0.143 m18_eukaryotes_DOPC_37
special 0.441 0.484 0.465 0.278 0.354 0.506 m18_eukaryotes_DOPC_37
aromatic 0.182 0.202 0.123 0.156 0.09 0.115 m18_eukaryotes_DOPC_37
charged 0.145 0.1 0.16 0.038 0.046 0.178 m18_eukaryotes_DOPC_37
polar 0.199 0.257 0.158 0.112 0.162 0.165 r15_ecoli_DLPC_37
nonpolar 0.377 0.544 0.108 0.109 0.127 0.095 r15_ecoli_DLPC_37
special 0.547 0.596 0.59 0.38 0.619 0.613 r15_ecoli_DLPC_37
aromatic 0.178 0.2 0.071 0.065 0.07 0.077 r15_ecoli_DLPC_37
charged 0.158 0.146 0.178 0.237 0.165 0.177 r15_ecoli_DLPC_37
polar 0.205 0.249 0.144 0.062 0.122 0.159 m18_bacteria_DLPC_37
nonpolar 0.424 0.559 0.213 0.259 0.289 0.131 m18_bacteria_DLPC_37
special 0.556 0.608 0.549 0.376 0.526 0.582 m18_bacteria_DLPC_37
aromatic 0.219 0.241 0.141 0.188 0.121 0.118 m18_bacteria_DLPC_37
charged 0.15 0.143 0.164 0.036 0.073 0.188 m18_bacteria_DLPC_37
polar 0.366 0.454 0.32 0.085 0.271 0.359 m07_eukaryotes
nonpolar 0.117 0.093 0.157 0.229 0.124 0.107 m07_eukaryotes
special 0.358 0.388 0.4 0.19 0.327 0.441 m07_eukaryotes
aromatic 0.032 0.047 0.012 0.0 0.0 0.027 m07_eukaryotes
charged 0.22 0.252 0.156 0.021 0.101 0.169 m07_eukaryotes
polar 0.359 0.484 0.227 0.097 0.241 0.24 m12_all
nonpolar 0.108 0.046 0.154 0.335 0.048 0.041 m12_all
special 0.379 0.46 0.319 0.152 0.315 0.343 m12_all
aromatic 0.031 0.041 0.006 0.0 0.0 0.015 m12_all
charged 0.242 0.184 0.289 0.024 0.313 0.296 m12_all
polar 0.247 0.3 0.202 0.164 0.175 0.215 m18_archaea_DOPC_37
nonpolar 0.411 0.529 0.191 0.303 0.245 0.112 m18_archaea_DOPC_37
special 0.519 0.563 0.527 0.308 0.804 0.49 m18_archaea_DOPC_37
aromatic 0.183 0.197 0.112 0.153 0.091 0.091 m18_archaea_DOPC_37
charged 0.157 0.122 0.186 0.091 0.169 0.201 m18_archaea_DOPC_37
polar 0.205 0.249 0.149 0.067 0.135 0.163 m18_all_DLPC_37
nonpolar 0.418 0.554 0.209 0.27 0.252 0.128 m18_all_DLPC_37
special 0.528 0.579 0.525 0.33 0.495 0.56 m18_all_DLPC_37
aromatic 0.215 0.235 0.139 0.19 0.123 0.111 m18_all_DLPC_37
charged 0.148 0.13 0.166 0.039 0.089 0.186 m18_all_DLPC_37
polar 0.181 0.25 0.139 0.056 0.15 0.15 m18_ecoli_DLPC_37
nonpolar 0.424 0.569 0.218 0.274 0.307 0.113 m18_ecoli_DLPC_37
special 0.555 0.603 0.607 0.44 0.608 0.631 m18_ecoli_DLPC_37
aromatic 0.206 0.183 0.152 0.245 0.11 0.096 m18_ecoli_DLPC_37
charged 0.15 0.152 0.154 0.068 0.088 0.175 m18_ecoli_DLPC_37
polar 0.183 0.219 0.148 0.08 0.065 0.173 m18_humans_DOPC_37
nonpolar 0.338 0.47 0.182 0.236 0.187 0.137 m18_humans_DOPC_37
special 0.442 0.43 0.512 0.25 0.4 0.596 m18_humans_DOPC_37
aromatic 0.153 0.194 0.083 0.113 0.037 0.074 m18_humans_DOPC_37
charged 0.138 0.056 0.167 0.077 0.066 0.187 m18_humans_DOPC_37
polar 0.221 0.265 0.167 0.164 0.177 0.165 r15_all
nonpolar 0.367 0.541 0.093 0.084 0.103 0.096 r15_all
special 0.518 0.576 0.501 0.274 0.442 0.548 r15_all
aromatic 0.177 0.227 0.081 0.073 0.07 0.095 r15_all
charged 0.161 0.132 0.188 0.2 0.145 0.195 r15_all
polar 0.183 0.195 0.167 0.2 0.323 0.142 r15_humans_DLPC_37
nonpolar 0.288 0.417 0.064 0.053 0.062 0.074 r15_humans_DLPC_37
special 0.424 0.444 0.479 0.167 0.229 0.567 r15_humans_DLPC_37
aromatic 0.137 0.222 0.045 0.047 0.038 0.048 r15_humans_DLPC_37
charged 0.148 0.044 0.18 0.286 0.093 0.188 r15_humans_DLPC_37
polar 0.367 0.426 0.338 0.111 0.352 0.371 m07_archaea
nonpolar 0.118 0.097 0.15 0.231 0.083 0.094 m07_archaea
special 0.434 0.498 0.398 0.111 0.343 0.432 m07_archaea
aromatic 0.026 0.018 0.03 0.0 0.0 0.096 m07_archaea
charged 0.185 0.148 0.117 0.25 0.07 0.127 m07_archaea
polar 0.32 0.343 0.284 0.025 0.194 0.336 m07_humans
nonpolar 0.108 0.081 0.147 0.212 0.142 0.094 m07_humans
special 0.368 0.352 0.424 0.167 0.286 0.482 m07_humans
aromatic 0.039 0.062 0.025 0.0 0.0 0.065 m07_humans
charged 0.26 0.3 0.208 0.0 0.209 0.211 m07_humans
polar 0.22 0.262 0.161 0.158 0.161 0.161 r15_bacteria_DLPC_37
nonpolar 0.38 0.549 0.109 0.094 0.129 0.111 r15_bacteria_DLPC_37
special 0.542 0.601 0.521 0.299 0.482 0.565 r15_bacteria_DLPC_37
aromatic 0.185 0.232 0.091 0.087 0.088 0.097 r15_bacteria_DLPC_37
charged 0.162 0.144 0.189 0.139 0.139 0.201 r15_bacteria_DLPC_37
polar 0.211 0.262 0.144 0.054 0.152 0.154 m18_bacteria_DOPC_37
nonpolar 0.411 0.555 0.2 0.294 0.262 0.145 m18_bacteria_DOPC_37
special 0.548 0.595 0.545 0.444 0.612 0.55 m18_bacteria_DOPC_37
aromatic 0.213 0.237 0.146 0.168 0.179 0.127 m18_bacteria_DOPC_37
charged 0.146 0.137 0.162 0.058 0.108 0.176 m18_bacteria_DOPC_37
polar 0.214 0.266 0.151 0.07 0.146 0.163 m18_all_DOPC_37
nonpolar 0.403 0.548 0.193 0.28 0.233 0.141 m18_all_DOPC_37
special 0.524 0.571 0.523 0.401 0.578 0.532 m18_all_DOPC_37
aromatic 0.204 0.225 0.14 0.168 0.152 0.123 m18_all_DOPC_37
charged 0.146 0.128 0.163 0.058 0.098 0.178 m18_all_DOPC_37
polar 0.365 0.444 0.304 0.131 0.287 0.33 m07_all
nonpolar 0.126 0.087 0.178 0.243 0.161 0.127 m07_all
special 0.443 0.51 0.431 0.281 0.426 0.452 m07_all
aromatic 0.032 0.036 0.014 0.0 0.0 0.035 m07_all
charged 0.193 0.191 0.149 0.068 0.108 0.16 m07_all
