overall buried surface lipid_facing interfacial aqueous efxn
-16.986 -41.388 -53.9 -100.479 -74.684 -37.518 m07_ecoli
-32.004 -31.063 -40.717 -126.513 -88.204 -41.236 m12_eukaryotes
-2.901 -7.777 -6.626 -48.291 -8.324 -17.837 m18_eukaryotes_DOPC_37
-1.171 -4.133 -6.521 -12.676 -17.4 7.058 r15_ecoli_DLPC_37
-2.007 -6.25 -3.095 -12.873 -4.263 -1.92 m18_bacteria_DLPC_37
-16.646 -14.9 -32.551 -89.895 -74.997 -28.883 m07_eukaryotes
-21.201 -32.782 -41.005 -112.638 -69.047 -39.614 m12_all
-1.155 -5.058 -2.825 -19.383 -26.756 -3.528 m18_archaea_DOPC_37
-2.365 -6.686 -3.908 -12.566 -5.47 -3.867 m18_all_DLPC_37
-1.932 -5.078 -3.244 -48.082 -5.928 8.381 m18_ecoli_DLPC_37
-2.771 -7.628 -6.058 -65.714 -30.723 -16.252 m18_humans_DOPC_37
-1.34 -5.411 -6.932 -1.37 -6.495 -5.634 r15_all
-2.409 -6.032 -9.236 24.387 -4.558 -19.583 r15_humans_DLPC_37
-15.165 -14.205 -28.775 -43.078 -59.188 -26.172 m07_archaea
-15.748 -35.507 -28.735 -56.671 -78.439 -25.78 m07_humans
-1.031 -5.172 -5.92 -0.825 -5.334 -3.618 r15_bacteria_DLPC_37
-1.728 -5.822 -3.141 -14.199 -4.152 -2.703 m18_bacteria_DOPC_37
-2.028 -6.141 -4.002 -14.488 -5.485 -4.094 m18_all_DOPC_37
-15.534 -15.042 -32.821 -84.083 -82.135 -28.52 m07_all
-20.747 -32.757 -51.346 -120.401 -89.841 -48.641 m12_bacteria
-0.148 -4.428 -6.727 14.128 -17.949 -5.637 r15_archaea_DLPC_37
-30.958 -38.698 -74.012 -105.108 -111.343 -94.075 m12_humans
-31.093 -32.489 -73.783 -124.633 -107.854 -60.973 m12_ecoli
-29.033 -30.078 -32.298 -77.828 -57.611 -42.435 m12_archaea
-2.268 -6.446 8.568 6.011 -5.107 -3.456 m18_archaea_DLPC_37
-1.886 -4.677 -3.776 -59.229 5.668 8.55 m18_ecoli_DOPC_37
-3.081 -7.68 -5.619 -29.98 -15.254 -17.503 m18_humans_DLPC_37
-15.282 -15.442 -33.114 -82.761 -79.589 -27.813 m07_bacteria
-3.08 -8.359 -5.75 -24.544 -7.411 -6.476 m18_eukaryotes_DLPC_37
-2.393 -6.676 -8.914 -15.059 -8.393 -8.227 r15_eukaryotes_DLPC_37
