overall buried surface lipid_facing interfacial aqueous efxn
0.212 0.214 0.229 0.186 0.218 0.242 m07_ecoli
0.195 0.191 0.204 0.19 0.137 0.218 m12_eukaryotes
0.307 0.433 0.194 0.132 0.197 0.207 r15_bacteria
0.269 0.338 0.202 0.189 0.134 0.221 m18_humans_DOPC
0.312 0.426 0.212 0.222 0.207 0.21 m18_all_DOPC
0.317 0.436 0.215 0.23 0.219 0.211 m18_bacteria_DOPC
0.198 0.196 0.217 0.175 0.164 0.235 m07_eukaryotes
0.275 0.405 0.169 0.102 0.11 0.194 r15_eukaryotes
0.204 0.202 0.21 0.187 0.194 0.218 m12_all
0.312 0.418 0.185 0.109 0.245 0.198 r15_archaea
0.318 0.43 0.218 0.219 0.237 0.215 m18_bacteria_DLPE
0.321 0.433 0.221 0.218 0.223 0.222 m18_bacteria_DLPC
0.27 0.343 0.212 0.183 0.153 0.251 m18_humans_DPPC
0.339 0.422 0.242 0.237 0.256 0.238 m18_archaea_DLPC
0.341 0.429 0.239 0.243 0.262 0.232 m18_archaea_DLPE
0.19 0.184 0.23 0.179 0.296 0.234 m07_archaea
0.314 0.423 0.222 0.224 0.24 0.215 m18_ecoli_DLPC
0.302 0.441 0.19 0.13 0.204 0.202 r15_ecoli
0.332 0.422 0.225 0.226 0.309 0.209 m18_archaea_DOPC
0.313 0.435 0.22 0.238 0.233 0.212 m18_ecoli_DLPE
0.196 0.172 0.212 0.168 0.125 0.245 m07_humans
0.287 0.394 0.199 0.2 0.151 0.207 m18_eukaryotes_DOPC
0.248 0.343 0.162 0.073 0.107 0.204 r15_humans
0.206 0.205 0.222 0.181 0.219 0.233 m07_all
0.3 0.426 0.186 0.121 0.178 0.202 r15_all
0.206 0.208 0.209 0.181 0.199 0.217 m12_bacteria
0.311 0.435 0.214 0.238 0.228 0.205 m18_ecoli_DOPC
0.191 0.16 0.204 0.165 0.125 0.234 m12_humans
0.265 0.332 0.199 0.186 0.126 0.219 m18_humans_POPC
0.208 0.216 0.211 0.191 0.206 0.216 m12_ecoli
0.285 0.392 0.2 0.207 0.157 0.209 m18_eukaryotes_DLPC
0.203 0.189 0.234 0.2 0.283 0.236 m12_archaea
0.211 0.21 0.225 0.187 0.229 0.233 m07_bacteria
0.267 0.35 0.199 0.143 0.196 0.216 m18_humans_DMPC
0.315 0.424 0.218 0.218 0.212 0.219 m18_all_DLPC
0.259 0.333 0.2 0.187 0.164 0.212 m18_humans_DLPC
