Residue	No.correct.core	No.native.core	No.designed.core	Correct.v.native.core	Correct.v.designed.core	No.correct	No.native	No.designed	Correct.v.native	Correct.v.designed	No.correct.surface	No.native.surface	No.designed.surface	Correct.v.native.surface	Correct.v.designed.surface	No.correct.lipid.facing	No.native.lipid.facing	No.designed.lipid.facing	Correct.v.native.lipid.facing	Correct.v.designed.lipid.facingNo.correct.interface	No.native.interface	No.designed.interface	Correct.v.native.interface	Correct.v.designed.interface	No.correct.aqueous	No.native.aqueous	No.designed.aqueous	Correct.v.native.aqueous	Correct.v.designed.aqueous
ALA	4738	6283	13373	0.75	0.35	7428	14756	24648	0.50	0.30	259	2986	1364	0.09	0.19	3435	2756	11373	1.25	0.30	595	1550	2161	0.38	0.28	3398	10450	11114	0.33	0.31	
CYS	72	685	686	0.11	0.10	92	1186	1068	0.08	0.09	1	117	18	0.01	0.06	35	253	436	0.14	0.08	5	79	66	0.06	0.08	52	854	566	0.06	0.09	
ASP	302	1021	701	0.30	0.43	2008	7347	7990	0.27	0.25	838	3011	4281	0.28	0.20	207	422	1522	0.49	0.14	150	618	777	0.24	0.19	1651	6307	5691	0.26	0.29	
GLU	118	961	419	0.12	0.28	1338	7218	10578	0.19	0.13	776	3098	6426	0.25	0.12	200	484	3617	0.41	0.06	70	587	1046	0.12	0.07	1068	6147	5915	0.17	0.18	
PHE	851	2858	2022	0.30	0.42	1789	9007	4649	0.20	0.38	97	1817	276	0.05	0.35	708	2085	1806	0.34	0.39	151	1307	395	0.12	0.38	930	5615	2448	0.17	0.38	
GLY	3598	5212	4192	0.69	0.86	8720	13947	11259	0.63	0.77	1966	3142	2961	0.63	0.66	3186	2287	3841	1.39	0.83	728	1556	988	0.47	0.74	4806	10104	6430	0.48	0.75	
HIS	63	550	550	0.11	0.11	240	2573	2520	0.09	0.10	57	780	823	0.07	0.07	41	201	692	0.20	0.06	27	268	264	0.10	0.10	172	2104	1564	0.08	0.11	
ILE	1764	3856	4021	0.46	0.44	3824	11010	11327	0.35	0.34	224	2015	1189	0.11	0.19	1665	2561	4834	0.65	0.34	282	1254	847	0.22	0.33	1877	7195	5646	0.26	0.33	
LYS	59	586	370	0.10	0.16	1176	6516	11618	0.18	0.10	602	2837	6429	0.21	0.09	164	431	4492	0.38	0.04	120	742	1184	0.16	0.10	892	5343	5942	0.17	0.15	
LEU	2793	5513	5624	0.51	0.50	6973	17849	17009	0.39	0.41	483	3331	1850	0.15	0.26	2948	4203	7323	0.70	0.40	590	2188	1422	0.27	0.41	3435	11458	8264	0.30	0.42	
MET	401	1693	2363	0.24	0.17	666	4119	4976	0.16	0.13	39	666	211	0.06	0.18	296	751	2271	0.39	0.13	47	454	402	0.10	0.12	323	2914	2303	0.11	0.14	
ASN	307	1415	880	0.22	0.35	1270	6638	4876	0.19	0.26	385	2146	2219	0.18	0.17	225	601	994	0.37	0.23	103	715	468	0.14	0.22	942	5322	3414	0.18	0.28	
PRO	556	1619	677	0.34	0.82	2378	6531	3764	0.36	0.63	890	2417	1664	0.37	0.53	353	708	468	0.50	0.75	179	719	283	0.25	0.63	1846	5104	3013	0.36	0.61	
GLN	169	978	889	0.17	0.19	668	5385	4639	0.12	0.14	98	1646	1285	0.06	0.08	141	470	1411	0.30	0.10	63	541	424	0.12	0.15	464	4374	2804	0.11	0.17	
ARG	76	1228	225	0.06	0.34	549	7128	3549	0.08	0.15	182	2253	1532	0.08	0.12	84	585	1184	0.14	0.07	63	872	324	0.07	0.19	402	5671	2041	0.07	0.20	
SER	310	2922	1021	0.11	0.30	1765	9843	8543	0.18	0.21	656	2727	3964	0.24	0.17	401	1343	2102	0.30	0.19	148	1031	789	0.14	0.19	1216	7469	5652	0.16	0.22	
THR	1125	2965	3335	0.38	0.34	2688	9744	10721	0.28	0.25	363	2386	2339	0.15	0.16	964	1364	4011	0.71	0.24	249	1000	950	0.25	0.26	1475	7380	5760	0.20	0.26	
VAL	2029	4471	4395	0.45	0.46	4051	12658	11197	0.32	0.36	251	2449	1283	0.10	0.20	1458	2741	4269	0.53	0.34	305	1306	868	0.23	0.35	2288	8611	6060	0.27	0.38	
TRP	134	804	606	0.17	0.22	394	3162	2166	0.12	0.18	47	840	321	0.06	0.15	144	676	1066	0.21	0.14	42	566	215	0.07	0.20	208	1920	885	0.11	0.24	
TYR	278	1785	1056	0.16	0.26	1210	6506	6026	0.19	0.20	158	1096	1325	0.14	0.12	421	1187	2696	0.35	0.16	138	836	573	0.17	0.24	651	4483	2757	0.15	0.24	
