Residue	No.correct.core	No.native.core	No.designed.core	Correct.v.native.core	Correct.v.designed.core	No.correct	No.native	No.designed	Correct.v.native	Correct.v.designed	No.correct.surface	No.native.surface	No.designed.surface	Correct.v.native.surface	Correct.v.designed.surface	No.correct.lipid.facing	No.native.lipid.facing	No.designed.lipid.facing	Correct.v.native.lipid.facing	Correct.v.designed.lipid.facingNo.correct.interface	No.native.interface	No.designed.interface	Correct.v.native.interface	Correct.v.designed.interface	No.correct.aqueous	No.native.aqueous	No.designed.aqueous	Correct.v.native.aqueous	Correct.v.designed.aqueous
ALA	2004	6301	5649	0.32	0.35	3100	14787	9292	0.21	0.33	119	2986	250	0.04	0.48	1765	6409	6068	0.28	0.29	191	1230	592	0.16	0.32	1144	7148	2632	0.16	0.43	
CYS	0	688	0	0.00	0.0	0	1195	0	0.00	0.0	0	117	0	0.00	0.0	0	530	0	0.00	0.0	0	62	0	0.00	0.0	0	603	0	0.00	0.0	
ASP	175	1027	403	0.17	0.43	1410	7367	3823	0.19	0.37	645	3022	1719	0.21	0.38	36	1138	87	0.03	0.41	51	599	117	0.09	0.44	1323	5630	3619	0.23	0.37	
GLU	77	969	144	0.08	0.53	482	7260	1222	0.07	0.39	191	3119	435	0.06	0.44	31	1235	54	0.03	0.57	14	500	51	0.03	0.27	437	5525	1117	0.08	0.39	
PHE	350	2865	896	0.12	0.39	819	9019	2628	0.09	0.31	55	1821	288	0.03	0.19	441	4577	1576	0.10	0.28	61	1026	225	0.06	0.27	317	3416	827	0.09	0.38	
GLY	3405	5237	3805	0.65	0.89	8456	13987	10147	0.60	0.83	1977	3153	2696	0.63	0.73	2855	5753	3276	0.50	0.87	755	1243	872	0.61	0.87	4846	6991	5999	0.69	0.81	
HIS	99	550	880	0.18	0.11	290	2585	2298	0.11	0.13	35	785	195	0.04	0.18	18	580	177	0.03	0.10	5	240	135	0.02	0.04	267	1765	1986	0.15	0.13	
ILE	1349	3870	3404	0.35	0.40	3323	11038	12513	0.30	0.27	389	2017	2288	0.19	0.17	2008	5361	8589	0.37	0.23	185	915	727	0.20	0.25	1130	4762	3197	0.24	0.35	
LYS	4	591	21	0.01	0.19	2061	6546	6202	0.31	0.33	1623	2850	4984	0.57	0.33	27	987	88	0.03	0.31	97	564	282	0.17	0.34	1937	4995	5832	0.39	0.33	
LEU	1966	5524	4586	0.36	0.43	7706	17897	28693	0.43	0.27	1776	3340	10264	0.53	0.17	4944	8543	18175	0.58	0.27	730	1587	3861	0.46	0.19	2032	7767	6657	0.26	0.31	
MET	331	1697	2543	0.20	0.13	553	4134	6709	0.13	0.08	19	673	587	0.03	0.03	325	1881	4156	0.17	0.08	36	383	622	0.09	0.06	192	1870	1931	0.10	0.10	
ASN	422	1419	3051	0.30	0.14	1685	6655	8806	0.25	0.19	446	2154	1709	0.21	0.26	259	1590	1698	0.16	0.15	141	668	815	0.21	0.17	1285	4397	6293	0.29	0.20	
PRO	119	1621	129	0.07	0.92	487	6560	746	0.07	0.65	184	2431	381	0.08	0.48	100	1577	115	0.06	0.87	63	688	87	0.09	0.72	324	4295	544	0.08	0.60	
GLN	168	978	1434	0.17	0.12	591	5398	4723	0.11	0.13	83	1650	655	0.05	0.13	72	1179	719	0.06	0.10	63	502	462	0.13	0.14	456	3717	3542	0.12	0.13	
ARG	274	1231	989	0.22	0.28	3041	7157	10616	0.42	0.29	1297	2262	4644	0.57	0.28	134	1356	623	0.10	0.22	279	729	988	0.38	0.28	2628	5072	9005	0.52	0.29	
SER	1544	2928	10399	0.53	0.15	4048	9861	25784	0.41	0.16	888	2729	5201	0.33	0.17	987	3338	5640	0.30	0.17	316	796	2056	0.40	0.15	2745	5727	18088	0.48	0.15	
THR	1117	2975	6011	0.38	0.19	3354	9778	18863	0.34	0.18	763	2397	4134	0.32	0.18	803	3428	4200	0.23	0.19	242	855	1325	0.28	0.18	2309	5495	13338	0.42	0.17	
VAL	798	4495	1739	0.18	0.46	1591	12696	4040	0.13	0.39	34	2451	195	0.01	0.17	678	5840	1792	0.12	0.38	101	963	258	0.10	0.39	812	5893	1990	0.14	0.41	
TRP	126	810	918	0.16	0.14	517	3173	5196	0.16	0.10	97	842	1194	0.12	0.08	206	1503	2074	0.14	0.10	75	367	957	0.20	0.08	236	1303	2165	0.18	0.11	
TYR	227	1796	571	0.13	0.40	543	6529	1321	0.08	0.41	30	1100	80	0.03	0.38	87	2598	296	0.03	0.29	58	663	148	0.09	0.39	398	3268	877	0.12	0.45	
Total	14555	47572		0.306		44057	163622		0.269		Total	10651	41899		0.254		15776	59403		0.266		3463	14580		0.238		24818	89639		0.277		
