case	non_inserted_score	lowest_zcoord	lowest_angle	lowest_score	ddG_from_lowest	inserted_zcoord	inserted_angle	inserted_score	ddG_from_inserted	efxn	exp
pHLIP-v1	-34.8937	22.9996	92	-37.5127	-2.619	-0.000372766	0	-35.166	-0.2723	m07	2.17
pHLIP-v2	-33.3598	26.9468	90	-34.3517	-0.9919	-0.0531769	0	-31.4125	1.9473	m07	0.28
pHLIP-v3	-26.3641	-75.1825	21	-28.1193	-1.7552	-0.182511	0	-24.6612	1.7029	m07	2.23
pHLIP-v4	-26.7459	-75.1816	0	-28.104	-1.3581	-0.181559	0	-24.2063	2.5396	m07	1.72
pHLIP-v5	-22.3726	-70.8774	0	-24.1667	-1.7941	0.122601	0	-15.3241	7.0485	m07	2.31
pHLIP-v6	-20.5465	-68.4843	0	-23.4088	-2.8623	-0.484332	0	-15.9916	4.5549	m07	1.93
pHLIP-v7	-15.1139	-70.8774	47	-24.8212	-9.7073	0.122601	0	-16.1244	-1.0105	m07	2.39
pHLIP-v8	-20.1367	-68.4843	0	-22.23	-2.0933	-0.484332	0	-14.152	5.9847	m07	2.19
pHLIP-v9	-20.6313	-68.4861	0	-22.824	-2.1927	-0.486121	0	-13.6438	6.9875	m07	2.07
pHLIP-v10	-21.1607	-68.4852	24	-22.1448	-0.9841	-0.485225	0	-15.5224	5.6383	m07	1.79
pHLIP-v11	-21.8361	-68.4852	0	-22.4715	-0.6354	-0.485225	0	-15.6653	6.1708	m07	1.94
pHLIP-v12	-17.9632	-63.7692	56	-18.1601	-0.1969	0.230791	0	-6.80539	11.15781	m07	1.95
pHLIP-v13	-15.8379	-63.7692	0	-18.1931	-2.3552	0.230791	0	-6.72743	9.11047	m07	1.15
pHLIP-v14	-39.5762	-3.30681	184	-43.7591	-4.1829	-0.306809	0	-42.1276	-2.5514	m07	1.78
pHLIP-v15	-38.5277	4.73276	174	-43.2688	-4.7411	-0.267243	0	-42.8118	-4.2841	m07	0.82
pHLIP-v16	-30.6705	-1.26632	0	-37.2178	-6.5473	-0.266321	0	-36.949	-6.2785	m07	1.47
pHLIP-v1	-38.4442	-5.00037	347	-54.734	-16.2898	-0.000372766	0	-50.7945	-12.3503	m12	2.17
pHLIP-v2	-40.4417	5.94682	176	-52.8606	-12.4189	-0.0531769	0	-50.4416	-9.9999	m12	0.28
pHLIP-v3	-32.7757	-13.1825	70	-46.113	-13.3373	-0.182511	0	-38.5312	-5.7555	m12	2.23
pHLIP-v4	-31.9964	-13.1816	73	-45.6944	-13.698	-0.181559	0	-36.2552	-4.2588	m12	1.72
pHLIP-v5	-31.0112	16.1226	251	-42.1422	-11.131	0.122601	0	-29.4536	1.5576	m12	2.31
pHLIP-v6	-28.9227	-16.4843	103	-36.475	-7.5523	-0.484332	0	-31.1828	-2.2601	m12	1.93
pHLIP-v7	-32.8684	16.1226	252	-41.5883	-8.7199	0.122601	0	-27.2099	5.6585	m12	2.39
pHLIP-v8	-28.2354	15.5157	134	-37.1712	-8.9358	-0.484332	0	-26.9247	1.3107	m12	2.19
pHLIP-v9	-30.2291	-12.4861	317	-36.4736	-6.2445	-0.486121	0	-25.9415	4.2876	m12	2.07
pHLIP-v10	-27.9813	13.5148	233	-39.0977	-11.1164	-0.485225	0	-26.3234	1.6579	m12	1.79
pHLIP-v11	-28.9779	-12.4852	54	-39.2621	-10.2842	-0.485225	0	-25.644	3.3339	m12	1.94
pHLIP-v12	-21.1628	-13.7692	56	-30.8462	-9.6834	0.230791	0	-13.2507	7.9121	m12	1.95
pHLIP-v13	-21.5207	15.2308	235	-30.4108	-8.8901	0.230791	0	-11.4112	10.1095	m12	1.15
pHLIP-v14	-44.7193	3.69319	15	-63.0969	-18.3776	-0.306809	0	-60.0873	-15.368	m12	1.78
pHLIP-v15	-54.5475	4.73276	169	-68.7683	-14.2208	-0.267243	0	-67.7615	-13.214	m12	0.82
pHLIP-v16	-39.3828	1.73368	183	-56.9783	-17.5955	-0.266321	0	-55.9169	-16.5341	m12	1.47
